draw,finding,process_contrast,goal_contrast,dominance_ratio,reproduces,separation,legible_and_empty,buildable,human_honest,machine_as_human
13,"E36 depth moves the method, not the purpose",0.04111443881605724,-1.5741672698688092e-07,41114.43881605724,True,,,,,
13,E37 the wall is a distinct failure,,,,False,1.081672742724299,False,True,,
13,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814288,-5.412622637974625
14,"E36 depth moves the method, not the purpose",0.0697803013464032,0.04067720228138638,1.7154646198058268,False,,,,,
14,E37 the wall is a distinct failure,,,,False,,,False,,
14,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3434041657031452,-2.6174473886668657
15,"E36 depth moves the method, not the purpose",0.12830917938118883,1.40408494491151e-05,9138.27755551323,True,,,,,
15,E37 the wall is a distinct failure,,,,False,,,False,,
15,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3509731207810736,-3.1190703833730073
16,"E36 depth moves the method, not the purpose",0.12597073838567868,0.00029951374635417416,420.5841632280832,True,,,,,
16,E37 the wall is a distinct failure,,,,False,,,False,,
16,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351598489540165,-3.5149026585782335
17,"E36 depth moves the method, not the purpose",0.09837701811442942,-2.437396997567731e-06,40361.50787606592,True,,,,,
17,E37 the wall is a distinct failure,,,,False,0.9609490389307133,False,True,,
17,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351598489677263,-4.863783360852427
18,"E36 depth moves the method, not the purpose",0.08290909693376021,-2.70983901984323e-09,82909.09693376021,True,,,,,
18,E37 the wall is a distinct failure,,,,False,0.9308993449131807,False,True,,
18,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.945903520354847
19,"E36 depth moves the method, not the purpose",0.17914380785291129,-9.362156827563695e-09,179143.8078529113,True,,,,,
19,E37 the wall is a distinct failure,,,,False,0.9923778719825781,False,True,,
19,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814475,-7.0102459048184
20,"E36 depth moves the method, not the purpose",0.1021175617488102,-0.0008175225540243414,124.9110024501779,True,,,,,
20,E37 the wall is a distinct failure,,,,False,,,False,,
20,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515873845142228,-3.049477973643242
21,"E36 depth moves the method, not the purpose",0.10048852208909528,-0.004717339806464382,21.301946904777,True,,,,,
21,E37 the wall is a distinct failure,,,,False,,,False,,
21,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3505378704649444,-2.5069225266869593
22,"E36 depth moves the method, not the purpose",0.08300119617906533,3.867044600380787e-05,2146.372870147198,True,,,,,
22,E37 the wall is a distinct failure,,,,False,1.0155377440178859,False,True,,
22,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351598489681044,-4.86945751565068
23,"E36 depth moves the method, not the purpose",0.17607074311724863,8.311478433853381e-05,2118.404619809841,True,,,,,
23,E37 the wall is a distinct failure,,,,False,,,False,,
23,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515981934447823,-3.5728207410552613
24,"E36 depth moves the method, not the purpose",0.16344411639483103,-4.4790887325563133e-05,3649.04841484464,True,,,,,
24,E37 the wall is a distinct failure,,,,False,,,False,,
24,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351597482903971,-2.853977482280783
25,"E36 depth moves the method, not the purpose",0.02793562345670967,-5.168116090636943e-08,27935.623456709673,True,,,,,
25,E37 the wall is a distinct failure,,,,False,1.0842670188511965,False,True,,
25,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-6.490929775286641
26,"E36 depth moves the method, not the purpose",0.12391076301230114,9.651409338840011e-06,12838.618554250834,True,,,,,
26,E37 the wall is a distinct failure,,,,False,0.9530722313803371,False,True,,
26,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814457,-5.564758407714599
27,"E36 depth moves the method, not the purpose",0.07072220540976437,1.7854668199035473e-05,3960.992420659201,True,,,,,
27,E37 the wall is a distinct failure,,,,False,1.0561744605627579,False,True,,
27,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351598489681446,-5.494907335121791
28,"E36 depth moves the method, not the purpose",0.15140903867314762,-0.0019004948866525595,79.66821680842942,True,,,,,
28,E37 the wall is a distinct failure,,,,False,,,False,,
28,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515979367821058,-3.013293533332283
29,"E36 depth moves the method, not the purpose",0.15705386878449484,0.0005445716187284511,288.39892382054023,True,,,,,
29,E37 the wall is a distinct failure,,,,False,,,False,,
29,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351580582071332,-3.4009406003590805
30,"E36 depth moves the method, not the purpose",0.141772144589461,0.0001040191210142094,1362.943112834941,True,,,,,
30,E37 the wall is a distinct failure,,,,False,,,False,,
30,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351593668293832,-3.7187733672559706
31,"E36 depth moves the method, not the purpose",0.14243870407164924,-1.2687348949214083e-08,142438.70407164923,True,,,,,
31,E37 the wall is a distinct failure,,,,False,0.9240785195521088,False,True,,
31,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.2275541262057175
32,"E36 depth moves the method, not the purpose",0.02469155083482224,-3.452961302663482e-06,7150.833348690043,True,,,,,
32,E37 the wall is a distinct failure,,,,False,0.9754928344335604,False,True,,
32,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814148,-5.648354219394046
33,"E36 depth moves the method, not the purpose",0.08536998232863273,0.003629394951991438,23.52182208271119,True,,,,,
33,E37 the wall is a distinct failure,,,,False,,,False,,
33,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984894935402,-4.054457069137099
34,"E36 depth moves the method, not the purpose",0.08178626952622457,-3.2746681144502077e-08,81786.26952622458,True,,,,,
34,E37 the wall is a distinct failure,,,,False,0.9425534927258429,False,True,,
34,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814475,-8.498353624515596
35,"E36 depth moves the method, not the purpose",0.07414818208351295,0.00018526621159487,400.2250677293285,True,,,,,
35,E37 the wall is a distinct failure,,,,False,,,False,,
35,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351596503458757,-3.843730569039181
36,"E36 depth moves the method, not the purpose",0.03854046297535775,0.0011750615088252925,32.79867707851873,True,,,,,
36,E37 the wall is a distinct failure,,,,False,,,False,,
36,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351598126867379,-3.874333116401777
37,"E36 depth moves the method, not the purpose",0.11679618202295479,-4.0396922917906863e-08,116796.18202295479,True,,,,,
37,E37 the wall is a distinct failure,,,,False,1.1444242678099303,False,True,,
37,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-8.58843240851277
38,"E36 depth moves the method, not the purpose",0.017083417390658807,6.353674986137037e-08,17083.417390658808,True,,,,,
38,E37 the wall is a distinct failure,,,,False,1.064418168704935,False,True,,
38,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.18415491983546
39,"E36 depth moves the method, not the purpose",0.07251557924051029,0.00021463615032746297,337.85352155205806,True,,,,,
39,E37 the wall is a distinct failure,,,,False,,,False,,
39,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984895202742,-4.252946603107695
40,"E36 depth moves the method, not the purpose",0.06110261768036762,0.0003597994488688805,169.82410026602034,True,,,,,
40,E37 the wall is a distinct failure,,,,False,,,False,,
40,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515959231729748,-3.4761497071797094
41,"E36 depth moves the method, not the purpose",0.07991314130084914,0.003567348991411423,22.401268138677814,True,,,,,
41,E37 the wall is a distinct failure,,,,False,,,False,,
41,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351598489680165,-4.290808162244572
42,"E36 depth moves the method, not the purpose",0.09584735367685063,-4.035170264593546e-07,95847.35367685063,True,,,,,
42,E37 the wall is a distinct failure,,,,False,1.0551275661964632,False,True,,
42,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-6.013850124035777
43,"E36 depth moves the method, not the purpose",0.12582822992903425,7.918177002963489e-09,125828.22992903426,True,,,,,
43,E37 the wall is a distinct failure,,,,False,1.0054499946280977,False,True,,
43,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-6.850987997622654
44,"E36 depth moves the method, not the purpose",0.07870161538140126,1.8456816879286464e-06,42640.947188312704,True,,,,,
44,E37 the wall is a distinct failure,,,,False,0.9644303468064357,False,True,,
44,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814215,-5.639816201254942
45,"E36 depth moves the method, not the purpose",0.08793125258612261,0.00015602055752239608,563.5876065466595,True,,,,,
45,E37 the wall is a distinct failure,,,,False,,,False,,
45,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896667907,-4.299825471352402
46,"E36 depth moves the method, not the purpose",0.08922101980545913,3.4333839105116226e-08,89221.01980545913,True,,,,,
46,E37 the wall is a distinct failure,,,,False,0.9417748134635089,False,True,,
46,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.1153343521395875
47,"E36 depth moves the method, not the purpose",0.070950653405937,0.00028630461332235235,247.81526424812847,True,,,,,
47,E37 the wall is a distinct failure,,,,False,,,False,,
47,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515730473334726,-2.3550514774891806
48,"E36 depth moves the method, not the purpose",0.12507674839346422,5.142777914635133e-08,125076.74839346422,True,,,,,
48,E37 the wall is a distinct failure,,,,False,0.9908460585539719,False,True,,
48,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-6.801598245963579
49,"E36 depth moves the method, not the purpose",0.09255951318263021,5.48369185615627e-08,92559.51318263021,True,,,,,
49,E37 the wall is a distinct failure,,,,False,0.923675990430226,False,True,,
49,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.413084559450262
50,"E36 depth moves the method, not the purpose",0.17858906252117016,0.014431688874871229,12.374786074562161,True,,,,,
50,E37 the wall is a distinct failure,,,,False,,,False,,
50,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.333076636235819,-2.4442656057297065
51,"E36 depth moves the method, not the purpose",0.05433181653890601,3.867791770240103e-05,1404.72444656795,True,,,,,
51,E37 the wall is a distinct failure,,,,False,,,False,,
51,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515902816426861,-2.9910990091027236
52,"E36 depth moves the method, not the purpose",0.10003246192091887,0.015476679725028308,6.463431672566701,True,,,,,
52,E37 the wall is a distinct failure,,,,False,,,False,,
52,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.351302068484979,-2.887482378693585
53,"E36 depth moves the method, not the purpose",0.10224823447736867,4.746344983708184e-08,102248.23447736866,True,,,,,
53,E37 the wall is a distinct failure,,,,False,1.0965995473132333,False,True,,
53,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-6.610958085662457
54,"E36 depth moves the method, not the purpose",0.03286775931312016,-9.27841092845938e-08,32867.75931312016,True,,,,,
54,E37 the wall is a distinct failure,,,,False,1.023629305397863,False,True,,
54,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-7.497501429388347
55,"E36 depth moves the method, not the purpose",0.1473469389245835,7.210295709825232e-06,20435.630500396634,True,,,,,
55,E37 the wall is a distinct failure,,,,False,0.9457163161914508,False,True,,
55,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814066,-6.175876294498919
56,"E36 depth moves the method, not the purpose",0.1260149776686212,1.7169320442489422e-05,7339.543698932208,True,,,,,
56,E37 the wall is a distinct failure,,,,False,0.8995901172051805,False,True,,
56,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814353,-5.737362112215146
57,"E36 depth moves the method, not the purpose",0.1452481843084986,0.02101452340625798,6.911800068006524,True,,,,,
57,E37 the wall is a distinct failure,,,,False,,,False,,
57,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3283233450029739,-2.4516903064582487
58,"E36 depth moves the method, not the purpose",0.08214766373108384,9.881275819800805e-08,82147.66373108384,True,,,,,
58,E37 the wall is a distinct failure,,,,False,1.0761577241420608,False,True,,
58,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814475,-6.585307511932338
59,"E36 depth moves the method, not the purpose",0.12446273096672354,1.0370332237386037e-07,124462.73096672355,True,,,,,
59,E37 the wall is a distinct failure,,,,False,1.130511571001641,False,True,,
59,E2/R-5 a false label moves you the wrong way,,,,True,,,,1.3515984896814472,-6.7804368644471396
