arm,observer,goal_correct,final_entropy,engaged_fraction,error_reduction,movement,process_accuracy,posterior
human,29,1,6.200658151339755e-07,0.21428571428571427,1.5256650759544896,1.525664481710469,0.5,"[8.72916573385587e-09, 1.2870465683947415e-08, 1.0458792272898578e-08, 0.9999999679415765]"
human,30,1,0.0016974667969219181,0.0,1.2517396017379476,1.2502285188764721,0.125,"[5.481706033571193e-05, 0.9998436583527168, 4.5193951093304786e-05, 5.633063585397431e-05]"
human,31,1,0.0003398304356090437,0.0,1.2847372085179019,1.2844276210374483,0.5,"[7.411980832037091e-06, 8.30486396788809e-06, 0.9999730367208622, 1.124643433794896e-05]"
human,32,1,2.9097290756520586e-06,0.0,1.6246865050043708,1.624683707396877,0.5,"[5.053915048320581e-08, 4.755021874827785e-08, 0.9999998356946573, 6.621597339359438e-08]"
human,33,1,3.6874817535635527e-06,0.0,1.6238508536843725,1.6238473083520704,0.7916666666666666,"[0.9999997886413612, 6.908432469775642e-08, 8.908770037949476e-08, 5.318661390755113e-08]"
human,34,1,0.0029860949024722834,0.0,1.309208296316448,1.306542275799711,0.08333333333333333,"[9.080366514683013e-05, 0.00011998357834133602, 8.131015383878285e-05, 0.999707902602673]"
human,35,1,6.468837959305455e-06,0.0,1.5555905965939303,1.555584414265459,0.4166666666666667,"[0.9999996157796806, 1.733341880587381e-07, 1.1905567591793923e-07, 9.18304555936389e-08]"
human,36,1,0.00183501881651863,0.0,1.4636272143258757,1.461943817293196,0.20833333333333334,"[5.24642039498234e-05, 4.6549351323223474e-05, 0.9998294225526706, 7.156389205646176e-05]"
human,37,1,5.2972457114423255e-08,0.5,1.3817247343897627,1.3817246837955974,0.875,"[0.9999999975826162, 5.879288505328721e-10, 1.0368350887572328e-09, 7.92619833034292e-10]"
human,38,1,0.00013417471985878283,0.0,1.172068931998988,1.1719472846226098,0.75,"[2.936470228973691e-06, 2.441053100917027e-06, 4.495469728903916e-06, 0.9999901270069413]"
human,39,1,0.00019731215247994986,0.0,1.2411066755773563,1.2409269151569113,0.5416666666666666,"[6.633466916310665e-06, 4.240530171053418e-06, 0.9999850318464774, 4.0941564350021465e-06]"
human,40,1,1.692380326059577e-08,0.42857142857142855,1.4190653316027095,1.4190653153604644,0.75,"[2.396734205541248e-10, 3.133855049351769e-10, 1.7931860895361044e-10, 0.9999999992676225]"
human,41,1,3.1703962828389565e-06,0.0,1.2142838561388587,1.2142809073490215,0.16666666666666666,"[5.507863836144712e-08, 0.999999820118782, 6.815826222294939e-08, 5.664431734136616e-08]"
human,42,1,4.1444379104458616e-10,0.6428571428571429,1.1294315001827042,1.1294314997861028,0.625,"[5.141097054028437e-12, 4.854850297908379e-12, 5.35515722056168e-12, 0.9999999999846487]"
human,43,1,2.0716486938908835e-06,0.0,1.514699176996173,1.5146971999477858,0.75,"[4.40239932669932e-08, 3.750980736142104e-08, 3.3090710847523765e-08, 0.9999998853754886]"
human,44,1,4.024398422331416e-06,0.0,1.4660834475724895,1.4660796236970486,0.041666666666666664,"[5.8381791224580273e-08, 0.9999997679695549, 6.951587649240558e-08, 1.0413277738127312e-07]"
human,45,1,8.981775847293019e-08,0.14285714285714285,1.092467623687275,1.092467539796611,0.0,"[1.4734131201553222e-09, 0.9999999957997432, 1.475087613909215e-09, 1.2517561671972618e-09]"
human,46,1,2.8330112879340083e-11,0.42857142857142855,1.4388659811125806,1.4388659810808966,0.5833333333333334,"[2.5558571004847625e-13, 4.196283193638841e-13, 2.7695255562004497e-13, 0.9999999999990479]"
human,47,1,1.4337594934730034e-07,0.5,1.1878805682336344,1.1878804336068043,0.8333333333333334,"[1.9274826267591345e-09, 2.8916043249991455e-09, 2.0481855602010014e-09, 0.9999999931327277]"
human,48,1,7.725914084165787e-07,0.35714285714285715,1.4431586476157723,1.4431579115663962,0.041666666666666664,"[1.6804069250985486e-08, 1.003461552157726e-08, 0.9999999595512116, 1.3610103694951112e-08]"
human,49,1,6.052346495160485e-05,0.0,1.1231370287148097,1.1230821387023693,0.3333333333333333,"[1.1136291004219415e-06, 0.9999958122108341, 1.884858599262237e-06, 1.1893014661084226e-06]"
human,50,1,5.9095247791386956e-08,0.14285714285714285,1.132859905373226,1.132859849941083,0.20833333333333334,"[9.245172138509175e-10, 8.616587112109782e-10, 0.9999999972923486, 9.214755839107275e-10]"
human,51,1,1.4142617180291515e-07,0.14285714285714285,1.568344856869824,1.5683447201903362,0.4166666666666667,"[0.9999999932148429, 1.7530733298815525e-09, 3.4335715801944286e-09, 1.5985122246897109e-09]"
human,52,1,1.4930091280750392e-07,0.35714285714285715,1.5771246480807737,1.5771245040363722,0.3333333333333333,"[2.5980779048832557e-09, 3.066607730980542e-09, 0.9999999928261749, 1.5091394772006498e-09]"
human,53,1,0.0031069373191616838,0.0,1.508083743680739,1.505216911894932,0.25,"[9.268719792859366e-05, 0.00015083826960520002, 0.9996931530764579, 6.332145600818859e-05]"
human,54,1,2.5729167218011792e-11,0.5,1.4139475467607043,1.4139475467316915,0.7083333333333334,"[0.9999999999991388, 2.887695155439121e-13, 2.6844761793482963e-13, 3.0392644864464656e-13]"
human,55,1,4.593582907338076e-06,0.0,1.394928559651397,1.3949242230787846,0.125,"[1.1807806007372838e-07, 7.52218482395575e-08, 7.362486780173848e-08, 0.9999997330752239]"
human,56,1,3.114797262624833e-08,0.5,1.492661940677363,1.492661910528279,0.5833333333333334,"[2.76302427215939e-10, 0.9999999986047784, 8.564406771380926e-10, 2.6247830334131645e-10]"
human,57,1,9.762894263587977e-07,0.0,1.0299308888806227,1.0299299907026591,0.4166666666666667,"[0.9999999482786824, 1.7416228080767604e-08, 1.7006761847322634e-08, 1.7298327615298678e-08]"
human,58,1,8.908816488309354e-08,0.2857142857142857,1.570233415336355,1.570233329054584,0.16666666666666666,"[2.285505330575602e-09, 9.62000728603762e-10, 0.9999999958165543, 9.35939639746777e-10]"
human,59,1,4.4647146398214017e-07,0.35714285714285715,1.1537819940405636,1.1537815778512635,0.0,"[9.686646753374654e-09, 5.4847811693589725e-09, 0.9999999773062973, 7.52227471630721e-09]"
foreign,0,0,1.1323376637806153,0.0,-0.8509488345342304,0.13063027597299245,0.16666666666666666,"[0.08570629177264309, 0.268804486531099, 0.5408406769159215, 0.10464854478033633]"
foreign,1,0,1.325775646967871,0.0,-0.3837169062368466,0.05848037291567251,0.2916666666666667,"[0.3066303870994373, 0.36215169297307065, 0.1614986374288621, 0.16971928249863]"
foreign,2,0,1.3718831667346454,0.0,-0.021450998628692597,0.013205532293747671,0.125,"[0.28789154819802104, 0.27757562989829904, 0.182089506632176, 0.2524433152715038]"
foreign,3,1,1.2772780011604055,0.0,0.1327059348031524,0.017860254569354923,0.08333333333333333,"[0.1275995142701845, 0.18997137059944874, 0.23329035054724387, 0.44913876458312296]"
foreign,4,0,1.3354905662578054,0.0,-0.3811183680780381,0.024643870477172182,0.20833333333333334,"[0.24228078539055925, 0.22065082956963014, 0.15723876852824162, 0.3798296165115689]"
foreign,5,0,1.3456492325796456,0.0,-0.148279692966365,0.059978705002640686,0.125,"[0.25822986127308345, 0.26270123347427093, 0.14333174081385044, 0.3357371644387952]"
foreign,6,1,0.8016057443835242,0.0,1.1785535734790464,0.6231337073464784,0.4166666666666667,"[0.10188445531761754, 0.05951817304293981, 0.07532691616756532, 0.7632704554718772]"
foreign,7,0,1.2776035681551936,0.0,0.19908211273329646,0.05609192194933543,0.08333333333333333,"[0.450022755769124, 0.17912871605970893, 0.23724874832206808, 0.13359977984909918]"
foreign,8,0,1.257805059125018,0.0,-0.37035250844524104,0.11427537525142277,0.125,"[0.22002344597637044, 0.1251388077275204, 0.4724539900571665, 0.1823837562389428]"
foreign,9,0,1.2242397416687418,0.0,-0.38662785898153373,0.11892382257723749,0.25,"[0.2036893907928939, 0.14580591026600273, 0.14069340264767394, 0.5098112962934294]"
foreign,10,0,1.2953198074843255,0.0,-0.35963591440616405,0.033800482845342504,0.5,"[0.1805099257733457, 0.1749232390189011, 0.4457474554875316, 0.1988193797202216]"
foreign,11,0,1.2941188988723353,0.0,0.03870360949151741,0.12542401049416324,0.4166666666666667,"[0.11531074486704573, 0.40985628891704673, 0.2654526272107133, 0.20938033900519426]"
foreign,12,0,1.3510525866395322,0.0,0.24199667212746556,0.01214737631015091,0.3333333333333333,"[0.24964242503489745, 0.35877509825339593, 0.17753648163373456, 0.21404599507797198]"
foreign,13,0,1.2715619942625955,0.0,-0.5661127898296932,0.16284313741445927,0.375,"[0.2841576240005036, 0.11690832487739793, 0.16870511519868944, 0.4302289359234091]"
foreign,14,1,1.2017196164518864,0.0,0.6967057705970455,0.15941973632731343,0.4166666666666667,"[0.13523199367089891, 0.15092638265005526, 0.18187327089096555, 0.5319683527880804]"
foreign,15,0,1.2434340039493303,0.0,-0.4695163675559726,0.22882437640318842,0.08333333333333333,"[0.23056223444134089, 0.4827994818770823, 0.16487360577748927, 0.12176467790408754]"
foreign,16,0,0.7176063245944777,0.0,-1.4729215076857407,0.36348733238188796,0.25,"[0.7964773136009039, 0.06183905300147127, 0.09818027471880945, 0.04350335867881519]"
foreign,17,0,1.3779258800728083,0.0,0.017951376096152938,0.03224297162198447,0.08333333333333333,"[0.20476594037056686, 0.24301174068592768, 0.25740083462773783, 0.2948214843157676]"
foreign,18,0,1.3420480621449609,0.0,-0.05102250060409186,0.015257555067493767,0.20833333333333334,"[0.2700892087955493, 0.35652062871888857, 0.2196689599880898, 0.15372120249747234]"
foreign,19,0,1.33237328477832,0.0,-0.12629650824832983,0.016833213335183294,0.20833333333333334,"[0.23832193134726692, 0.3925359560154882, 0.1910879208210864, 0.17805419181615853]"
foreign,20,0,1.33569389292395,0.0,-0.27119049349261526,0.026149507508545562,0.7916666666666666,"[0.259094246104791, 0.18282188018695963, 0.37980699040838456, 0.17827688329986474]"
foreign,21,0,1.342316777168058,0.0,-0.19150430195545698,0.003919341450347433,0.4583333333333333,"[0.2933004754962012, 0.3468329582714018, 0.1985556146975459, 0.16131095153485106]"
foreign,22,1,1.184141098866645,0.0,0.9011243711545587,0.23648308150879044,0.16666666666666666,"[0.514937109445259, 0.12255164898607546, 0.25851051568573746, 0.10400072588292814]"
foreign,23,0,1.3180160986921112,0.0,-0.22345827170042343,0.02694179160531982,0.3333333333333333,"[0.4035913441253219, 0.2525869266906361, 0.1579365795528928, 0.1858851496311492]"
foreign,24,0,0.4402643525693271,0.0,-2.040720474801404,1.0925366230970908,0.5833333333333334,"[0.04159629275278061, 0.03003785613373621, 0.8980046893085314, 0.03036116180495179]"
foreign,25,0,1.1966118851001217,0.0,-0.5758280144350627,0.12218447407119705,0.375,"[0.1317682615528696, 0.14580548782864833, 0.5346633245601834, 0.18776292605829864]"
foreign,26,0,1.291995370232212,0.0,-0.4172910524841107,0.04557836151112776,0.08333333333333333,"[0.446162028557049, 0.20240721992926514, 0.19677274502035072, 0.15465800649333528]"
foreign,27,0,0.5745394927908393,0.14285714285714285,-0.6982019954151557,0.5210352782468388,0.4166666666666667,"[0.03263280584362503, 0.8417215420236717, 0.021307134080571305, 0.1043385180521321]"
foreign,28,0,1.285976759122836,0.0,-0.5733565757905188,0.12780941308407512,0.7916666666666666,"[0.2220579113775818, 0.4323301098042174, 0.22728030484481668, 0.11833167397338412]"
foreign,29,0,0.018801485999567123,0.0,-5.851411505981236,1.139662697774834,0.4583333333333333,"[0.0007604768272718234, 0.9976953608007697, 0.0009187357925526903, 0.0006254265794058628]"
foreign,30,0,1.3742438784071755,0.0,-0.2877561465128833,0.034632544396917764,0.875,"[0.2608492834067707, 0.21445569713260862, 0.2150812085245103, 0.30961381093611046]"
foreign,31,0,1.3303826411682187,0.0,-0.0926661739462995,0.06603919468134442,0.5833333333333334,"[0.14632119158249318, 0.3796200024222989, 0.25222585418179855, 0.2218329518134094]"
foreign,32,0,1.3639064201493625,0.0,-0.072795448105472,0.009710979069748157,0.16666666666666666,"[0.3075881635113627, 0.21477904493114158, 0.18314407928516024, 0.2944887122723355]"
foreign,33,1,0.4981714269182196,0.0,1.492260549036803,1.0802927446197248,0.041666666666666664,"[0.876699916171148, 0.03259935787054085, 0.06559527048841304, 0.025105455469898175]"
foreign,34,0,1.3497365340973486,0.0,-0.47985506623323704,0.05703210378513712,0.4166666666666667,"[0.31348668106821886, 0.20155869528950124, 0.3178868138994699, 0.1670678097428101]"
foreign,35,0,1.321190569551132,0.0,-0.15834236722426254,0.00736124930686077,0.125,"[0.1801557817817422, 0.3950048255103793, 0.2639880458771583, 0.1608513468307201]"
foreign,36,0,0.3696462550719423,0.0,-2.0998343002091158,1.084083495725252,0.16666666666666666,"[0.025583696406969877, 0.9191349147765691, 0.028335719231566386, 0.02694566958489465]"
foreign,37,0,1.3396778798357587,0.0,0.00756013347663842,0.029034810891315307,0.125,"[0.25305090541237946, 0.15588366854097957, 0.22240845726367148, 0.3686569687829695]"
foreign,38,1,1.3212386403307763,0.0,0.22938457088593267,0.042273175142526535,0.5,"[0.2747133838291571, 0.17143986500366945, 0.16426994217317245, 0.3895768089940009]"
foreign,39,0,1.3494788795581496,0.0,0.04878561947827276,0.0038044575522771587,0.7083333333333334,"[0.32444116057657607, 0.21097125511897802, 0.30351142520484353, 0.16107615909960252]"
foreign,40,0,1.2777947650223183,0.0,-0.28643999272966525,0.09767264452109224,0.0,"[0.10168262944240136, 0.35675709253511834, 0.3598797227857354, 0.18168055523674487]"
foreign,41,0,1.3022952573342352,0.0,-0.40181438986857354,0.1031498846647454,0.25,"[0.38587402506424423, 0.1986723237201922, 0.296431455079418, 0.11902219613614556]"
foreign,42,1,0.7953409161298371,0.0,0.8620614186451476,0.4150786358608968,0.041666666666666664,"[0.05259312736590884, 0.09744811595335792, 0.08456899426770643, 0.7653897624130268]"
foreign,43,0,1.3445036573138485,0.0,-0.09697829733630581,0.015819383654585958,0.5416666666666666,"[0.3453601637328436, 0.29112274493640333, 0.16396452539451534, 0.1995525659362378]"
foreign,44,0,1.372175658809405,0.0,-0.07401906949308712,0.007970988517560163,0.041666666666666664,"[0.24483009066231806, 0.2143590750942087, 0.21915601742828295, 0.32165481681519037]"
foreign,45,1,1.3367212811402926,0.0,0.02568891342749824,0.01989781776193761,0.16666666666666666,"[0.18777981987508496, 0.3441152273533097, 0.3086855355468898, 0.15941941722471548]"
foreign,46,0,1.2893494103531213,0.0,-0.4982581875238348,0.044884232557684506,0.08333333333333333,"[0.15483622810400496, 0.4192954020339044, 0.2817505569436175, 0.1441178129184732]"
foreign,47,0,1.3518195547467526,0.0,-0.19784455274913793,0.021589952756180877,0.16666666666666666,"[0.16208790933393796, 0.2411606881630403, 0.34660905367455946, 0.2501423488284623]"
foreign,48,1,1.340754181310606,0.0,0.4734399931167971,0.053838579338129675,0.0,"[0.24301898415064285, 0.18083923886561903, 0.379189691077541, 0.196952085906197]"
foreign,49,1,1.276217317534104,0.0,0.150219186801973,0.04553416466082237,0.041666666666666664,"[0.16399439989225678, 0.37797696298239025, 0.3464073337413405, 0.11162130338401244]"
foreign,50,1,1.3267028907822591,0.0,0.22492248191138264,0.018084388972888013,0.20833333333333334,"[0.17292152857644147, 0.20132262058251338, 0.4033553167646941, 0.22240053407635105]"
foreign,51,0,1.3246674731592294,0.0,-0.25060330888959026,0.014274379140311228,0.5,"[0.16219626372649742, 0.2662861214265248, 0.38957289749473734, 0.18194471735224033]"
foreign,52,0,0.831492373463341,0.0,-1.499934198004344,0.732423141168911,0.5,"[0.10077340802316756, 0.1073863733248325, 0.046094628543677886, 0.7457455901083221]"
foreign,53,0,0.9668978674333114,0.0,-0.7329716942974849,0.21394742086866197,0.20833333333333334,"[0.13927709899132337, 0.6806871071495801, 0.10631357129914615, 0.07372222255995041]"
foreign,54,0,1.1005474885064386,0.0,-0.2873926245514411,0.25545203160488306,0.5,"[0.1824388608163847, 0.11313195025223466, 0.1051130902685592, 0.5993160986628213]"
foreign,55,0,1.3578487707392426,0.0,-0.006951255816345592,0.012058100956986114,0.08333333333333333,"[0.32470175094313714, 0.26703463770443514, 0.16212983446943255, 0.2461337768829952]"
foreign,56,0,1.3674927714188554,0.0,-0.22102724495368498,0.031109416096451896,0.041666666666666664,"[0.2567677119793276, 0.1801997741701912, 0.31541204068005885, 0.24762047317042246]"
foreign,57,1,1.3035202265653452,0.0,0.16101016146922986,0.023740828397526795,0.20833333333333334,"[0.4194039345699012, 0.18574674057252355, 0.25003777289023443, 0.14481155196734077]"
foreign,58,0,1.2565634510371928,0.0,0.15329593161807487,0.028185865691202946,0.041666666666666664,"[0.46959291633869343, 0.14578876771179416, 0.24245540367163515, 0.14216291227787736]"
foreign,59,0,1.1844127652087517,0.0,-0.4813974017648752,0.28239875408708603,0.0,"[0.12633849760456028, 0.5417974910613069, 0.19491739637498792, 0.13694661495914476]"
noninvertible,0,1,0.1094143022429695,0.14285714285714285,1.5857795708624016,1.4881018277296871,0.5,"[0.9801000365387189, 0.0020934865415308513, 0.016337729782499373, 0.0014687471372508696]"
noninvertible,1,0,0.08109710346126385,0.0,-3.7039198571040326,1.557692234330194,0.125,"[0.9873771252361024, 0.003817165523035306, 0.005837448232064925, 0.002968261008797539]"
noninvertible,2,0,0.8319807583940353,0.07142857142857142,-0.11708977746943461,0.6394713149384422,0.8333333333333334,"[0.04123639111875237, 0.6969452209392853, 0.03239986406110783, 0.22941852388085465]"
noninvertible,3,0,0.5041043911740379,0.0,-0.9115215122361133,0.9350669556051849,0.08333333333333333,"[0.005380786420499096, 0.8306448252394009, 0.0058938806684954055, 0.1580805076716046]"
noninvertible,4,0,0.24071400255012199,0.0,-1.9712617171963474,1.3451829662198929,0.20833333333333334,"[0.9505895084966028, 0.007684346315456381, 0.032060415898684365, 0.009665729289256547]"
noninvertible,5,1,1.006077567963119,0.0,0.6258588135900994,0.3483206232229087,0.375,"[0.06607308905647472, 0.5697262023148832, 0.046014236750584254, 0.31818647187805765]"
noninvertible,6,1,0.35786668142754974,0.0,1.3607335954053492,1.0888121953322298,0.041666666666666664,"[0.014624277359382636, 0.05875940935100828, 0.01082139280931195, 0.9157949204802971]"
noninvertible,7,0,0.0335723863441898,0.0,-4.635476981882838,1.070545800852302,0.5416666666666666,"[0.9955156763542923, 0.001347342502415254, 0.001886173299058832, 0.0012508078442335575]"
noninvertible,8,0,0.24509044396144677,0.0,-2.1510431290206,1.2369584906998994,0.25,"[0.010707999925806651, 0.9499972626978932, 0.008559112618601802, 0.030735624757698338]"
noninvertible,9,0,0.09869467073981507,0.0,-2.631707515507939,1.1843436880749267,0.20833333333333334,"[0.0014635552801305393, 0.015443631211388672, 0.00101162136537908, 0.9820811921431016]"
noninvertible,10,0,0.21060581616425442,0.0,-2.800296892242733,1.2960398295910012,0.2916666666666667,"[0.012072645896431134, 0.015236384212043144, 0.012442873538393068, 0.9602480963531328]"
noninvertible,11,1,0.7482579287552762,0.07142857142857142,1.288660173733014,0.8248401364409337,0.08333333333333333,"[0.020850188995957954, 0.21792111797361313, 0.030451243914851867, 0.730777449115577]"
noninvertible,12,1,1.1593964207839489,0.0,0.9970007956244406,0.34428304452072245,0.08333333333333333,"[0.5311442903899681, 0.135620462858366, 0.25101889605020766, 0.08221635070145823]"
noninvertible,13,1,1.0161579426265832,0.0,1.0104970731123935,0.5400839324874227,0.16666666666666666,"[0.05854878558067142, 0.5656638190982589, 0.056986606213031976, 0.3188007891080377]"
noninvertible,14,1,0.3011631969682431,0.0,1.2603354806452591,1.032760099491284,0.625,"[0.010459842614922825, 0.040909941433118935, 0.013941349853112489, 0.9346888660988458]"
noninvertible,15,1,0.3369189209263465,0.0,0.9007456100969939,0.71703704717205,0.08333333333333333,"[0.9075809844521796, 0.0029615553004037555, 0.08565899154434703, 0.003798468703069586]"
noninvertible,16,0,0.00416638698491126,0.0,-7.209116710167674,1.5255059751286466,0.041666666666666664,"[0.0001836568366338072, 0.9995763780672343, 9.957875203106512e-05, 0.00014038634410073675]"
noninvertible,17,1,0.47017208160275425,0.0,1.28576674197552,0.9822482524189278,0.041666666666666664,"[0.009027042300618734, 0.8634406157327652, 0.011338404977586052, 0.11619393698903]"
noninvertible,18,1,0.3030586402729538,0.0,1.1898243227595229,0.9665951244500439,0.4166666666666667,"[0.9341146018332747, 0.016129107693362447, 0.040752814949980225, 0.009003475523382898]"
noninvertible,19,0,0.38078909370926906,0.14285714285714285,-0.9153402314959664,0.9300824107138161,0.4166666666666667,"[0.8983783167031456, 0.008933126142900195, 0.08680723036386304, 0.005881326790091287]"
noninvertible,20,1,0.026201222776959573,0.07142857142857142,1.075888612012583,1.0542898044842874,0.125,"[0.9965217697134454, 0.0005950137436689452, 0.002303928029923528, 0.0005792885129621104]"
noninvertible,21,1,0.26280247277372515,0.07142857142857142,1.5695542785668586,1.3407328596072896,0.20833333333333334,"[0.005511168523685516, 0.05224377913891354, 0.0036421845057452796, 0.9386028678316555]"
noninvertible,22,1,0.2830311577881977,0.0,1.4932639581435647,1.2503551719415356,0.08333333333333333,"[0.9309302570608797, 0.004158155534023054, 0.060511387032561266, 0.004400200372535792]"
noninvertible,23,0,0.6582304163680746,0.0,-0.6385147718969608,0.6015897620991247,0.16666666666666666,"[0.815792363172765, 0.04610400557827134, 0.10428599292998768, 0.03381763831897607]"
noninvertible,24,0,0.08694261280382377,0.0,-3.7601003815302034,1.3528767242766295,0.7916666666666666,"[0.004517311906668637, 0.005382099558572016, 0.0037368676038903557, 0.9863637209308689]"
noninvertible,25,0,0.7046342603176217,0.0,-0.35673939662924004,0.5292043534270993,0.16666666666666666,"[0.16404378981235887, 0.030936377290121407, 0.7756779950084647, 0.02934183788905503]"
noninvertible,26,0,0.6315822024771637,0.07142857142857142,-0.33605715792825275,0.5349693329277795,0.375,"[0.7651628814294168, 0.01084237565455046, 0.2134245509407543, 0.010570191975278503]"
noninvertible,27,0,0.3228518663133899,0.0,-1.1119647000498531,0.7305033923638993,0.16666666666666666,"[0.005933131785152856, 0.919136518685979, 0.005946122147362473, 0.0689842273815056]"
