access_contract,arm,card_id,condition,condition_factors,n_makers,recorded_metrics,source
"{""access_arms"":""same finished artifact, declared task context and permitted prior/query observations; without-query is explicitly paid-access ablation""}",generic,K02,prior-4,"{""id"":""prior-4"",""prior_works"":4}",256,"{""future_log_score"":-2.1163245367066486,""legal"":1.0,""success"":1.0}",constructor-expansion-1/K02
"{""access_arms"":""same finished artifact, declared task context and permitted prior/query observations; without-query is explicitly paid-access ablation""}",maker,K02,prior-4,"{""id"":""prior-4"",""prior_works"":4}",256,"{""future_log_score"":-2.116331121706382,""legal"":1.0,""success"":1.0}",constructor-expansion-1/K02
"{""access_arms"":""same finished artifact, declared task context and permitted prior/query observations; without-query is explicitly paid-access ablation""}",primitive,K02,prior-4,"{""id"":""prior-4"",""prior_works"":4}",256,"{""future_log_score"":-2.1179819966355304,""legal"":0.93359375,""success"":0.93359375}",constructor-expansion-1/K02
"{""access_arms"":""same finished artifact, declared task context and permitted prior/query observations; without-query is explicitly paid-access ablation""}",without-query,K02,prior-4,"{""id"":""prior-4"",""prior_works"":4}",256,"{""future_log_score"":-2.116331121706382,""legal"":1.0,""success"":1.0}",constructor-expansion-1/K02
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",continued,K03,aligned-budget-8,"{""budget"":8,""id"":""aligned-budget-8"",""relation"":""aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":2.791015625,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":8.0,""success"":0.0,""total_search_check_cost"":8.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",inhibited,K03,aligned-budget-8,"{""budget"":8,""id"":""aligned-budget-8"",""relation"":""aligned""}",1024,"{""checking_cost"":2.791015625,""definition_cost"":2.791015625,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":8.0,""success"":0.0,""total_search_check_cost"":10.791015625,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",primitive,K03,aligned-budget-8,"{""budget"":8,""id"":""aligned-budget-8"",""relation"":""aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":0.0,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":8.0,""success"":0.0,""total_search_check_cost"":8.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",relearned,K03,aligned-budget-8,"{""budget"":8,""id"":""aligned-budget-8"",""relation"":""aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":4.791015625,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":8.0,""success"":0.0,""total_search_check_cost"":8.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",continued,K03,aligned-budget-32,"{""budget"":32,""id"":""aligned-budget-32"",""relation"":""aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":2.791015625,""execution_primitives"":2.994140625,""legal"":1.0,""search_cost"":22.3720703125,""success"":0.998046875,""total_search_check_cost"":22.3720703125,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",inhibited,K03,aligned-budget-32,"{""budget"":32,""id"":""aligned-budget-32"",""relation"":""aligned""}",1024,"{""checking_cost"":2.791015625,""definition_cost"":2.791015625,""execution_primitives"":3.0,""legal"":1.0,""search_cost"":20.388671875,""success"":1.0,""total_search_check_cost"":23.1796875,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",primitive,K03,aligned-budget-32,"{""budget"":32,""id"":""aligned-budget-32"",""relation"":""aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":0.0,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":32.0,""success"":0.0,""total_search_check_cost"":32.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",relearned,K03,aligned-budget-32,"{""budget"":32,""id"":""aligned-budget-32"",""relation"":""aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":4.791015625,""execution_primitives"":3.0,""legal"":1.0,""search_cost"":20.330078125,""success"":1.0,""total_search_check_cost"":20.330078125,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",continued,K03,aligned-budget-128,"{""budget"":128,""id"":""aligned-budget-128"",""relation"":""aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":2.791015625,""execution_primitives"":3.0,""legal"":1.0,""search_cost"":22.4248046875,""success"":1.0,""total_search_check_cost"":22.4248046875,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",inhibited,K03,aligned-budget-128,"{""budget"":128,""id"":""aligned-budget-128"",""relation"":""aligned""}",1024,"{""checking_cost"":2.791015625,""definition_cost"":2.791015625,""execution_primitives"":3.0,""legal"":1.0,""search_cost"":20.388671875,""success"":1.0,""total_search_check_cost"":23.1796875,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",primitive,K03,aligned-budget-128,"{""budget"":128,""id"":""aligned-budget-128"",""relation"":""aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":0.0,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":128.0,""success"":0.0,""total_search_check_cost"":128.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",relearned,K03,aligned-budget-128,"{""budget"":128,""id"":""aligned-budget-128"",""relation"":""aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":4.791015625,""execution_primitives"":3.0,""legal"":1.0,""search_cost"":20.330078125,""success"":1.0,""total_search_check_cost"":20.330078125,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",continued,K03,partially-aligned-budget-8,"{""budget"":8,""id"":""partially-aligned-budget-8"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":2.791015625,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":8.0,""success"":0.0,""total_search_check_cost"":8.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",inhibited,K03,partially-aligned-budget-8,"{""budget"":8,""id"":""partially-aligned-budget-8"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":2.791015625,""definition_cost"":2.791015625,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":8.0,""success"":0.0,""total_search_check_cost"":10.791015625,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",primitive,K03,partially-aligned-budget-8,"{""budget"":8,""id"":""partially-aligned-budget-8"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":0.0,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":8.0,""success"":0.0,""total_search_check_cost"":8.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",relearned,K03,partially-aligned-budget-8,"{""budget"":8,""id"":""partially-aligned-budget-8"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":4.791015625,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":2.0,""success"":1.0,""total_search_check_cost"":2.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",continued,K03,partially-aligned-budget-32,"{""budget"":32,""id"":""partially-aligned-budget-32"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":2.791015625,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":30.6044921875,""success"":0.0,""total_search_check_cost"":30.6044921875,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",inhibited,K03,partially-aligned-budget-32,"{""budget"":32,""id"":""partially-aligned-budget-32"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":2.791015625,""definition_cost"":2.791015625,""execution_primitives"":1.734375,""legal"":1.0,""search_cost"":21.78125,""success"":0.8671875,""total_search_check_cost"":24.572265625,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",primitive,K03,partially-aligned-budget-32,"{""budget"":32,""id"":""partially-aligned-budget-32"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":0.0,""execution_primitives"":1.734375,""legal"":1.0,""search_cost"":21.78125,""success"":0.8671875,""total_search_check_cost"":21.78125,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",relearned,K03,partially-aligned-budget-32,"{""budget"":32,""id"":""partially-aligned-budget-32"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":4.791015625,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":2.0,""success"":1.0,""total_search_check_cost"":2.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",continued,K03,partially-aligned-budget-128,"{""budget"":128,""id"":""partially-aligned-budget-128"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":2.791015625,""execution_primitives"":1.876953125,""legal"":1.0,""search_cost"":73.2998046875,""success"":0.9384765625,""total_search_check_cost"":73.2998046875,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",inhibited,K03,partially-aligned-budget-128,"{""budget"":128,""id"":""partially-aligned-budget-128"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":2.791015625,""definition_cost"":2.791015625,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":23.90625,""success"":1.0,""total_search_check_cost"":26.697265625,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",primitive,K03,partially-aligned-budget-128,"{""budget"":128,""id"":""partially-aligned-budget-128"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":0.0,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":23.90625,""success"":1.0,""total_search_check_cost"":23.90625,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",relearned,K03,partially-aligned-budget-128,"{""budget"":128,""id"":""partially-aligned-budget-128"",""relation"":""partially-aligned""}",1024,"{""checking_cost"":0.0,""definition_cost"":4.791015625,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":2.0,""success"":1.0,""total_search_check_cost"":2.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",continued,K03,opposed-budget-8,"{""budget"":8,""id"":""opposed-budget-8"",""relation"":""opposed""}",1024,"{""checking_cost"":0.0,""definition_cost"":2.791015625,""execution_primitives"":0.791015625,""legal"":1.0,""search_cost"":6.4140625,""success"":0.3955078125,""total_search_check_cost"":6.4140625,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",inhibited,K03,opposed-budget-8,"{""budget"":8,""id"":""opposed-budget-8"",""relation"":""opposed""}",1024,"{""checking_cost"":2.791015625,""definition_cost"":2.791015625,""execution_primitives"":0.791015625,""legal"":1.0,""search_cost"":5.626953125,""success"":0.3955078125,""total_search_check_cost"":8.41796875,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",primitive,K03,opposed-budget-8,"{""budget"":8,""id"":""opposed-budget-8"",""relation"":""opposed""}",1024,"{""checking_cost"":0.0,""definition_cost"":0.0,""execution_primitives"":0.0,""legal"":1.0,""search_cost"":8.0,""success"":0.0,""total_search_check_cost"":8.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",relearned,K03,opposed-budget-8,"{""budget"":8,""id"":""opposed-budget-8"",""relation"":""opposed""}",1024,"{""checking_cost"":0.0,""definition_cost"":4.791015625,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":2.0,""success"":1.0,""total_search_check_cost"":2.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",continued,K03,opposed-budget-32,"{""budget"":32,""id"":""opposed-budget-32"",""relation"":""opposed""}",1024,"{""checking_cost"":0.0,""definition_cost"":2.791015625,""execution_primitives"":0.791015625,""legal"":1.0,""search_cost"":20.3173828125,""success"":0.3955078125,""total_search_check_cost"":20.3173828125,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",inhibited,K03,opposed-budget-32,"{""budget"":32,""id"":""opposed-budget-32"",""relation"":""opposed""}",1024,"{""checking_cost"":2.791015625,""definition_cost"":2.791015625,""execution_primitives"":1.794921875,""legal"":1.0,""search_cost"":14.544921875,""success"":0.8974609375,""total_search_check_cost"":17.3359375,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",primitive,K03,opposed-budget-32,"{""budget"":32,""id"":""opposed-budget-32"",""relation"":""opposed""}",1024,"{""checking_cost"":0.0,""definition_cost"":0.0,""execution_primitives"":1.654296875,""legal"":1.0,""search_cost"":22.7265625,""success"":0.8271484375,""total_search_check_cost"":22.7265625,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",relearned,K03,opposed-budget-32,"{""budget"":32,""id"":""opposed-budget-32"",""relation"":""opposed""}",1024,"{""checking_cost"":0.0,""definition_cost"":4.791015625,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":2.0,""success"":1.0,""total_search_check_cost"":2.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",continued,K03,opposed-budget-128,"{""budget"":128,""id"":""opposed-budget-128"",""relation"":""opposed""}",1024,"{""checking_cost"":0.0,""definition_cost"":2.791015625,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":37.5439453125,""success"":1.0,""total_search_check_cost"":37.5439453125,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",inhibited,K03,opposed-budget-128,"{""budget"":128,""id"":""opposed-budget-128"",""relation"":""opposed""}",1024,"{""checking_cost"":2.791015625,""definition_cost"":2.791015625,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":16.185546875,""success"":1.0,""total_search_check_cost"":18.9765625,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",primitive,K03,opposed-budget-128,"{""budget"":128,""id"":""opposed-budget-128"",""relation"":""opposed""}",1024,"{""checking_cost"":0.0,""definition_cost"":0.0,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":25.4921875,""success"":1.0,""total_search_check_cost"":25.4921875,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}",relearned,K03,opposed-budget-128,"{""budget"":128,""id"":""opposed-budget-128"",""relation"":""opposed""}",1024,"{""checking_cost"":0.0,""definition_cost"":4.791015625,""execution_primitives"":2.0,""legal"":1.0,""search_cost"":2.0,""success"":1.0,""total_search_check_cost"":2.0,""training_primitives"":64.0}",boundary-expansion-1/K03
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",generic-options,K04,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",256,"{""definition_cost"":4.09375,""execution_primitives"":0.0,""legal"":1.0,""observed_components"":1.0,""observed_graph_fraction"":0.362060546875,""option_policy_lookups"":2.00390625,""search_cost"":8.0,""success"":0.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",motif,K04,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",256,"{""definition_cost"":2.9296875,""execution_primitives"":0.0,""legal"":1.0,""observed_components"":0.0,""observed_graph_fraction"":0.0,""option_policy_lookups"":0.0,""search_cost"":8.0,""success"":0.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",options,K04,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",256,"{""definition_cost"":4.10546875,""execution_primitives"":0.0,""legal"":1.0,""observed_components"":1.0,""observed_graph_fraction"":0.341064453125,""option_policy_lookups"":2.01953125,""search_cost"":8.0,""success"":0.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",primitive,K04,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",256,"{""definition_cost"":0.0,""execution_primitives"":0.0,""legal"":1.0,""observed_components"":0.0,""observed_graph_fraction"":0.0,""option_policy_lookups"":0.0,""search_cost"":8.0,""success"":0.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",generic-options,K04,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",256,"{""definition_cost"":4.09765625,""execution_primitives"":0.0,""legal"":1.0,""observed_components"":1.0,""observed_graph_fraction"":0.3642578125,""option_policy_lookups"":2.1640625,""search_cost"":32.0,""success"":0.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",motif,K04,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",256,"{""definition_cost"":2.8203125,""execution_primitives"":3.0,""legal"":1.0,""observed_components"":0.0,""observed_graph_fraction"":0.0,""option_policy_lookups"":0.0,""search_cost"":13.28125,""success"":1.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",options,K04,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",256,"{""definition_cost"":4.08984375,""execution_primitives"":0.146484375,""legal"":1.0,""observed_components"":1.0,""observed_graph_fraction"":0.351318359375,""option_policy_lookups"":2.146484375,""search_cost"":31.0859375,""success"":0.048828125,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",primitive,K04,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",256,"{""definition_cost"":0.0,""execution_primitives"":0.0,""legal"":1.0,""observed_components"":0.0,""observed_graph_fraction"":0.0,""option_policy_lookups"":0.0,""search_cost"":32.0,""success"":0.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",generic-options,K04,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",256,"{""definition_cost"":4.0859375,""execution_primitives"":3.0,""legal"":1.0,""observed_components"":1.0,""observed_graph_fraction"":0.357666015625,""option_policy_lookups"":2.171875,""search_cost"":53.41796875,""success"":1.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",motif,K04,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",256,"{""definition_cost"":2.859375,""execution_primitives"":3.0,""legal"":1.0,""observed_components"":0.0,""observed_graph_fraction"":0.0,""option_policy_lookups"":0.0,""search_cost"":13.41015625,""success"":1.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",options,K04,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",256,"{""definition_cost"":4.10546875,""execution_primitives"":3.0,""legal"":1.0,""observed_components"":1.0,""observed_graph_fraction"":0.3505859375,""option_policy_lookups"":2.19140625,""search_cost"":50.16796875,""success"":1.0,""training_primitives"":32.0}",constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}",primitive,K04,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",256,"{""definition_cost"":0.0,""execution_primitives"":3.0,""legal"":1.0,""observed_components"":0.0,""observed_graph_fraction"":0.0,""option_policy_lookups"":0.0,""search_cost"":52.142578125,""success"":1.0,""training_primitives"":32.0}",constructor-expansion-1/K04
{},focal-effort,K05,instruction-False-feedback-False-offers-32,"{""feedback"":false,""id"":""instruction-False-feedback-False-offers-32"",""instruction"":false,""offers"":32}",256,"{""balanced_transfer"":0.0078125,""definition_cost"":0.1875,""feedback_queries"":0.0,""focal_transfer"":0.005859375,""foil_transfer"":0.009765625,""instruction_queries"":0.0,""offered_opportunities"":32.0,""pretest_execution_cost"":2.025390625,""pretest_search_cost"":27.370442708333332,""pretest_success"":1.0,""processed_trials"":16.0,""training_primitives"":32.0,""transfer_execution_cost"":0.0234375,""transfer_search_cost"":31.82421875}",constructor-expansion-1/K05
{},other-effort,K05,instruction-False-feedback-False-offers-32,"{""feedback"":false,""id"":""instruction-False-feedback-False-offers-32"",""instruction"":false,""offers"":32}",256,"{""balanced_transfer"":0.0078125,""definition_cost"":0.1953125,""feedback_queries"":0.0,""focal_transfer"":0.005859375,""foil_transfer"":0.009765625,""instruction_queries"":0.0,""offered_opportunities"":32.0,""pretest_execution_cost"":2.029296875,""pretest_search_cost"":27.417317708333332,""pretest_success"":1.0,""processed_trials"":16.0,""training_primitives"":32.0,""transfer_execution_cost"":0.0234375,""transfer_search_cost"":31.8173828125}",constructor-expansion-1/K05
{},focal-effort,K05,instruction-False-feedback-False-offers-64,"{""feedback"":false,""id"":""instruction-False-feedback-False-offers-64"",""instruction"":false,""offers"":64}",256,"{""balanced_transfer"":0.009765625,""definition_cost"":0.203125,""feedback_queries"":0.0,""focal_transfer"":0.009765625,""foil_transfer"":0.009765625,""instruction_queries"":0.0,""offered_opportunities"":64.0,""pretest_execution_cost"":2.03125,""pretest_search_cost"":27.404947916666664,""pretest_success"":1.0,""processed_trials"":16.0,""training_primitives"":32.0,""transfer_execution_cost"":0.029296875,""transfer_search_cost"":31.7841796875}",constructor-expansion-1/K05
