access_contract,bootstrap,card_id,condition,condition_factors,criterion_state,estimand,evidence_scope,interval_95,mean,n_constructors,n_makers,paired_standard_deviation,source
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,aligned-budget-32,"{""budget"":32,""id"":""aligned-budget-32"",""relation"":""aligned""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""inhibited"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-inhibited-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""inhibited minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0068359375]",0.001953125,128,1024,0.044172568262455275,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,aligned-budget-32,"{""budget"":32,""id"":""aligned-budget-32"",""relation"":""aligned""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""relearned"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-relearned-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""relearned minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0068359375]",0.001953125,128,1024,0.044172568262455275,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,aligned-budget-128,"{""budget"":128,""id"":""aligned-budget-128"",""relation"":""aligned""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""inhibited"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-inhibited-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""inhibited minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,aligned-budget-128,"{""budget"":128,""id"":""aligned-budget-128"",""relation"":""aligned""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""relearned"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-relearned-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""relearned minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,partially-aligned-budget-8,"{""budget"":8,""id"":""partially-aligned-budget-8"",""relation"":""partially-aligned""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""inhibited"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-inhibited-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""inhibited minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,partially-aligned-budget-8,"{""budget"":8,""id"":""partially-aligned-budget-8"",""relation"":""partially-aligned""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""relearned"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-relearned-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""relearned minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[1.0,1.0]",1.0,128,1024,0.0,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,partially-aligned-budget-32,"{""budget"":32,""id"":""partially-aligned-budget-32"",""relation"":""partially-aligned""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""inhibited"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-inhibited-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""inhibited minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.8046875,0.921875]",0.8671875,128,1024,0.3395378090193575,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,partially-aligned-budget-32,"{""budget"":32,""id"":""partially-aligned-budget-32"",""relation"":""partially-aligned""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""relearned"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-relearned-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""relearned minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[1.0,1.0]",1.0,128,1024,0.0,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,partially-aligned-budget-128,"{""budget"":128,""id"":""partially-aligned-budget-128"",""relation"":""partially-aligned""}",inconclusive,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""inhibited"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-inhibited-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""inhibited minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0322265625,0.095703125]",0.0615234375,128,1024,0.2404053749777276,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,partially-aligned-budget-128,"{""budget"":128,""id"":""partially-aligned-budget-128"",""relation"":""partially-aligned""}",inconclusive,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""relearned"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-relearned-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""relearned minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0322265625,0.095703125]",0.0615234375,128,1024,0.2404053749777276,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,opposed-budget-8,"{""budget"":8,""id"":""opposed-budget-8"",""relation"":""opposed""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""inhibited"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-inhibited-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""inhibited minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,opposed-budget-8,"{""budget"":8,""id"":""opposed-budget-8"",""relation"":""opposed""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""relearned"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-relearned-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""relearned minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.5517578125,0.66015625]",0.6044921875,128,1024,0.48919841464681985,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,opposed-budget-32,"{""budget"":32,""id"":""opposed-budget-32"",""relation"":""opposed""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""inhibited"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-inhibited-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""inhibited minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.4453125,0.556640625]",0.501953125,128,1024,0.5002405030087427,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,opposed-budget-32,"{""budget"":32,""id"":""opposed-budget-32"",""relation"":""opposed""}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""relearned"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-relearned-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""relearned minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.5517578125,0.66015625]",0.6044921875,128,1024,0.48919841464681985,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,opposed-budget-128,"{""budget"":128,""id"":""opposed-budget-128"",""relation"":""opposed""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""inhibited"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-inhibited-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""inhibited minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/K03
"{""access"":""all arms receive the same old and new training opportunities; library-update policies differ explicitly""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K03,opposed-budget-128,"{""budget"":128,""id"":""opposed-budget-128"",""relation"":""opposed""}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""relearned"",""denominator"":""all independent maker task packets, including failures"",""id"":""K03-relearned-minus-continued-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""relearned minus continued: success"",""practical_bar"":0.05,""rival"":""continued"",""target"":""success"",""units"":""success_fraction""}",discovery final boundary expansion,"[0.0,0.0]",0.0,128,1024,0.0,boundary-expansion-1/K03
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K04,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""motif"",""denominator"":""all independent maker task packets, including failures"",""id"":""K04-motif-minus-options-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""motif minus options: success"",""practical_bar"":0.05,""rival"":""options"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.0,0.0]",0.0,32,256,0.0,constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K04,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""motif"",""denominator"":""all independent maker task packets, including failures"",""id"":""K04-motif-minus-generic-options-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""motif minus generic-options: success"",""practical_bar"":0.05,""rival"":""generic-options"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.0,0.0]",0.0,32,256,0.0,constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K04,budget-8,"{""id"":""budget-8"",""search_primitive_budget"":8,""training_attempts"":16}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""motif"",""denominator"":""all independent maker task packets, including failures"",""id"":""K04-motif-minus-primitive-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""motif minus primitive: success"",""practical_bar"":0.05,""rival"":""primitive"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.0,0.0]",0.0,32,256,0.0,constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K04,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""motif"",""denominator"":""all independent maker task packets, including failures"",""id"":""K04-motif-minus-options-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""motif minus options: success"",""practical_bar"":0.05,""rival"":""options"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.912109375,0.982421875]",0.951171875,32,256,0.20900931996763525,constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K04,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""motif"",""denominator"":""all independent maker task packets, including failures"",""id"":""K04-motif-minus-generic-options-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""motif minus generic-options: success"",""practical_bar"":0.05,""rival"":""generic-options"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[1.0,1.0]",1.0,32,256,0.0,constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K04,budget-32,"{""id"":""budget-32"",""search_primitive_budget"":32,""training_attempts"":16}",held,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""motif"",""denominator"":""all independent maker task packets, including failures"",""id"":""K04-motif-minus-primitive-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""motif minus primitive: success"",""practical_bar"":0.05,""rival"":""primitive"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[1.0,1.0]",1.0,32,256,0.0,constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K04,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""motif"",""denominator"":""all independent maker task packets, including failures"",""id"":""K04-motif-minus-options-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""motif minus options: success"",""practical_bar"":0.05,""rival"":""options"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.0,0.0]",0.0,32,256,0.0,constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K04,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""motif"",""denominator"":""all independent maker task packets, including failures"",""id"":""K04-motif-minus-generic-options-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""motif minus generic-options: success"",""practical_bar"":0.05,""rival"":""generic-options"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.0,0.0]",0.0,32,256,0.0,constructor-expansion-1/K04
"{""access"":""own executed attempts for motif/options/primitive; same count pooled attempts for generic options""}","{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K04,budget-128,"{""id"":""budget-128"",""search_primitive_budget"":128,""training_attempts"":16}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""motif"",""denominator"":""all independent maker task packets, including failures"",""id"":""K04-motif-minus-primitive-success"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""motif minus primitive: success"",""practical_bar"":0.05,""rival"":""primitive"",""target"":""success"",""units"":""success_fraction""}",discovery expansion,"[0.0,0.0]",0.0,32,256,0.0,constructor-expansion-1/K04
{},"{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K05,instruction-False-feedback-False-offers-32,"{""feedback"":false,""id"":""instruction-False-feedback-False-offers-32"",""instruction"":false,""offers"":32}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""focal-effort"",""denominator"":""all independent maker task packets, including failures"",""id"":""K05-focal-effort-minus-other-effort-focal_transfer"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""focal-effort minus other-effort: focal_transfer"",""practical_bar"":0.05,""rival"":""other-effort"",""target"":""focal_transfer"",""units"":""success_fraction""}",discovery expansion,"[-0.01171875,0.013671875]",0.0,32,256,0.06262242910851495,constructor-expansion-1/K05
{},"{""method"":""constructors then makers, empirical percentile"",""quantile"":""floor(p*(B-1))"",""replicates"":1999,""seed"":771}",K05,instruction-False-feedback-False-offers-64,"{""feedback"":false,""id"":""instruction-False-feedback-False-offers-64"",""instruction"":false,""offers"":64}",failed,"{""aggregation"":""equal maker mean of paired task-packet differences"",""arm"":""focal-effort"",""denominator"":""all independent maker task packets, including failures"",""id"":""K05-focal-effort-minus-other-effort-focal_transfer"",""interval_target"":""same mean; constructors then makers within constructor"",""numerator"":""focal-effort minus other-effort: focal_transfer"",""practical_bar"":0.05,""rival"":""other-effort"",""target"":""focal_transfer"",""units"":""success_fraction""}",discovery expansion,"[-0.01953125,0.015625]",-0.001953125,32,256,0.10382910992889928,constructor-expansion-1/K05
